파일경로,파일명,제목,아티스트,연도,장르,추천장르,Spotify_인기도,Spotify_URL,검색_결과
"/Users/mac/Downloads/djing/Shoreline Mafia, OHGEESY & Fenix Flexin - HEAT STICK (Dirty).mp3","Shoreline Mafia, OHGEESY & Fenix Flexin - HEAT STICK (Dirty).mp3",HEAT STICK (Dirty),"Shoreline Mafia, OHGEESY & Fenix Flexin",2024.0,Hip Hop / Southern / Hardcore,,76,https://open.spotify.com/track/0HGItm7Ox9AnHZbx26nkE4,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/Emerson ft Lola Brooke & Howard Hewett - Stick to the Plan (Dirty).mp3,Emerson ft Lola Brooke & Howard Hewett - Stick to the Plan (Dirty).mp3,Stick to the Plan (Dirty),Emerson ft Lola Brooke & Howard Hewett,2024.0,Afrobeat / Hip Hop / Reggae,,13,https://open.spotify.com/track/7FQTnqDRXTqZBL1YxamBVy,발견 (유사도: 0.42)
/Users/mac/Downloads/djing/Playboi Carti - FOMDJ (Dirty).mp3,Playboi Carti - FOMDJ (Dirty).mp3,FOMDJ (Dirty),Playboi Carti,2025.0,Hip Hop / Trap / Southern / Hardcore,,76,https://open.spotify.com/track/7bO7a1KrtmGNDIOy2u3siZ,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Los Esquivel & Maisak - Sobra Y Falta (Dirty).mp3,Los Esquivel & Maisak - Sobra Y Falta (Dirty).mp3,Sobra Y Falta (Dirty),Los Esquivel & Maisak,2025.0,Latin Pop,,39,https://open.spotify.com/track/6jiLRYgMeBMq2u4wRD2HZW,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Miley Cyrus - Party In The USA (Clean).mp3,Miley Cyrus - Party In The USA (Clean).mp3,Party In The USA (Clean),Miley Cyrus,2009.0,Pop / Dance-Pop / Teen Pop,,42,https://open.spotify.com/track/7t5YIq57DS5djsaZJm1iyM,발견 (유사도: 0.86)
/Users/mac/Downloads/djing/Trae Tha Truth & J. Cole - Trae Tha Truth In Ibiza (Remix) (Dirty).mp3,Trae Tha Truth & J. Cole - Trae Tha Truth In Ibiza (Remix) (Dirty).mp3,Trae Tha Truth In Ibiza (Remix) (Dirty),Trae Tha Truth & J. Cole,2024.0,Hip Hop / Conscious,,44,https://open.spotify.com/track/64vjWBb56Fon6SOUSIwsNF,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Juvenile ft 2 Chainz - Booty (Dirty).mp3,Juvenile ft 2 Chainz - Booty (Dirty).mp3,Booty (Dirty),Juvenile ft 2 Chainz,2014.0,Hip Hop / Southern / Gangsta Rap,,15,https://open.spotify.com/track/6En48zZ6iV3PKaGjh5kVxG,발견 (유사도: 0.82)
/Users/mac/Downloads/djing/Megan Thee Stallion - Shots Fired (Dirty).mp3,Megan Thee Stallion - Shots Fired (Dirty).mp3,Shots Fired (Dirty),Megan Thee Stallion,2020.0,Hip Hop / Trap,,46,https://open.spotify.com/track/3yhhv0VCmKkAWD9ysDLpTE,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/BIGBANG (빅뱅) - 마지막 인사.mp3,BIGBANG (빅뱅) - 마지막 인사.mp3,마지막 인사,BIGBANG (빅뱅),2007.0,Pop / Dance / K-Pop,,58,https://open.spotify.com/track/7KDHGgYt5fF2Lh9FxMbVML,발견 (유사도: 0.40)
/Users/mac/Downloads/djing/Timbaland ft One Republic - Apologize (Clean).mp3,Timbaland ft One Republic - Apologize (Clean).mp3,Apologize (Clean),Timbaland ft One Republic,2007.0,Pop / R&B / Electronic,,77,https://open.spotify.com/track/6ucR4KfvsBFWCMVFDvyKKl,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/FLO ft GloRilla - In My Bag (Dirty).mp3,FLO ft GloRilla - In My Bag (Dirty).mp3,In My Bag (Dirty),FLO ft GloRilla,2024.0,R&B / Hip Hop / Trap,,64,https://open.spotify.com/track/4l9xe2rcwWctjrI43UFkgA,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lil Baby - So Sorry (Dirty).mp3,Lil Baby - So Sorry (Dirty).mp3,So Sorry (Dirty),Lil Baby,2025.0,Hip Hop / Trap / Rap,,66,https://open.spotify.com/track/5wwy9GjFxOFMV8IO6Xdf8h,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Don Toliver - No Pole (Dirty).mp3,Don Toliver - No Pole (Dirty).mp3,No Pole (Dirty),Don Toliver,2023.0,Hip Hop / Trap / R&B,,90,https://open.spotify.com/track/0eaVIYo2zeOaGJeqZ5TwYz,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Fifth Harmony - I'm In Love With A Monster (Clean).mp3,Fifth Harmony - I'm In Love With A Monster (Clean).mp3,I'm In Love With A Monster (Clean),Fifth Harmony,2015.0,Pop / Hip Hop / Europop / Dance-Pop,,68,https://open.spotify.com/track/0hO71r8vbnrXSaXVrR9ptF,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Yuna ft Tyler, The Creator - Castaway (Dirty).mp3","Yuna ft Tyler, The Creator - Castaway (Dirty).mp3",Castaway (Dirty),"Yuna ft Tyler, The Creator",2019.0,Pop / Indie Pop / R&B,,46,https://open.spotify.com/track/19zPT36WogsfBd8HIaUnt4,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Snoop Dogg - Shangri-La (Dirty).mp3,Snoop Dogg - Shangri-La (Dirty).mp3,Shangri-La (Dirty),Snoop Dogg,2024.0,Hip Hop / Gangsta Rap / G-Funk / West Coast,,44,https://open.spotify.com/track/1B76dJAexrgEa2krEJh88P,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/YG - Toxic (Dirty).mp3,YG - Toxic (Dirty).mp3,Toxic (Dirty),YG,2022.0,Hip Hop / R&B / WestCoast,,51,https://open.spotify.com/track/2JZYXjz0H86eOrXcTr0MIm,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Rihanna ft Drake - Work (Dirty).mp3,Rihanna ft Drake - Work (Dirty).mp3,Work (Dirty),Rihanna ft Drake,2016.0,Pop / Dance-Pop / R&B / Hip Hop,,81,https://open.spotify.com/track/72TFWvU3wUYdUuxejTTIzt,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Maejor Ali - Lolly (DIRTY).mp3,Maejor Ali - Lolly (DIRTY).mp3,Lolly (Dirty),"Maejor Ali ft Juicy J, Justin Bieber",2013.0,Pop / Dance / R&B,,68,https://open.spotify.com/track/2xtIAFJIMkzHGHiCrJ9iwd,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/Problem ft Jack Harlow & Jay Rock - NOTHIN (Dirty).mp3,Problem ft Jack Harlow & Jay Rock - NOTHIN (Dirty).mp3,NOTHIN (Dirty),Problem ft Jack Harlow & Jay Rock,2020.0,Hip Hop / Trap,,17,https://open.spotify.com/track/395eDxFlGOpyxA86chVKqD,발견 (유사도: 0.60)
/Users/mac/Downloads/djing/Drake ft Playboi Carti - Circadian Rhythm (The Language 2) (Dirty).mp3,Drake ft Playboi Carti - Circadian Rhythm (The Language 2) (Dirty).mp3,Circadian Rhythm (The Language 2) (Dirty),Drake ft Playboi Carti,2024.0,Hip Hop / Trap / Hardcore,,79,https://open.spotify.com/track/1eroCliWpJrEu1V7VSObcO,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lil Mabu ft CHRISEANROCK - MR TAKE YA B TCH (Dirty).mp3,Lil Mabu ft CHRISEANROCK - MR TAKE YA B TCH (Dirty).mp3,MR. TAKE YA B*TCH (Dirty),Lil Mabu ft CHRISEANROCK,2023.0,Hip Hop / Trap / Southern,,58,https://open.spotify.com/track/38R5sydMbsBzSPGPMfmtpb,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Tems - Love Me Jeje (Clean).mp3,Tems - Love Me Jeje (Clean).mp3,Love Me Jeje (Clean),Tems,2024.0,Afrobeats / R&B / Neo Soul,,75,https://open.spotify.com/track/1eDI5oU04SLsXl0TfxfwYf,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Playboi Carti - ALL RED (Dirty).mp3,Playboi Carti - ALL RED (Dirty).mp3,ALL RED (Dirty),Playboi Carti,2024.0,Hip Hop / Trap / Southern / Hardcore,,74,https://open.spotify.com/track/2cZOYofOX4d6g0OXxkaIjA,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Fabolous ft P. Diddy & Jagged Edge - Trade It All (Part 2) (Clean).mp3,Fabolous ft P. Diddy & Jagged Edge - Trade It All (Part 2) (Clean).mp3,Trade It All (Part 2) (Clean),Fabolous ft P. Diddy & Jagged Edge,2002.0,Hip Hop / R&B,,43,https://open.spotify.com/track/1x4co3nrqL4kuiqYXh0nJk,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/David Banner ft Lil Flip - Like A Pimp (Dirty).mp3,David Banner ft Lil Flip - Like A Pimp (Dirty).mp3,Like A Pimp (Dirty),David Banner ft Lil Flip,2003.0,Hip Hop / Southern / Crunk,,63,https://open.spotify.com/track/0DW5anNzTO7h0OlKqFsVQ6,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Nick Jonas - Find You (Clean).mp3,Nick Jonas - Find You (Clean).mp3,Find You (Clean),Nick Jonas,2017.0,Pop / Dance-Pop / Synth-Pop,,56,https://open.spotify.com/track/77dwRzKegOkVtlHajKnDCb,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Afrojack ft Jewelz & Sparks & Ester Dean - When You're Gone (Clean Extended).mp3,Afrojack ft Jewelz & Sparks & Ester Dean - When You're Gone (Clean Extended).mp3,When You're Gone (Clean Extended),Afrojack ft Jewelz & Sparks & Ester Dean,2018.0,Electronic / Dance / Progressive House,,23,https://open.spotify.com/track/0kNbknTcuR1XAHMfcmvUWq,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Rob49 ft DaBaby - Hate It or Love It (Dirty).mp3,Rob49 ft DaBaby - Hate It or Love It (Dirty).mp3,Hate It or Love It (Dirty),Rob49 ft DaBaby,2023.0,Hip Hop / Trap / Southern,,38,https://open.spotify.com/track/1GyoJBAjrIkVkPdcl7yCn3,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/DJ Era ft O.T. Genasis, Eric Bellinger _ AD - On My Way (Dirty).mp3","DJ Era ft O.T. Genasis, Eric Bellinger _ AD - On My Way (Dirty).mp3",On My Way (Dirty),"DJ Era ft O.T. Genasis, Eric Bellinger & AD",2021.0,Hip Hop,,0,https://open.spotify.com/track/4vch0t3kiAgAZk4ch4dKF7,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/Jack Harlow - Lovin On Me (Dirty).mp3,Jack Harlow - Lovin On Me (Dirty).mp3,Lovin On Me (Dirty),Jack Harlow,2023.0,Hip Hop / Trap / Pop,,82,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/NF - MOTTO (Clean).mp3,NF - MOTTO (Clean).mp3,MOTTO (Clean),NF,2023.0,Hip Hop / Dark / Emotional,,66,https://open.spotify.com/track/0pHrAAe6sSVDeUeNe5IesY,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Flo Rida - Right Round (Clean).mp3,Flo Rida - Right Round (Clean).mp3,Right Round (Clean),Flo Rida,2009.0,Pop / Hip Hop / Dance-Pop,,86,https://open.spotify.com/track/3GpbwCm3YxiWDvy29Uo3vP,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/BLACKPINK - How You Like That.mp3,BLACKPINK - How You Like That.mp3,How You Like That,BLACKPINK,2020.0,K-Pop / Hip Hop / Trap,,73,https://open.spotify.com/track/6bvZRLLkBKkmgpBJTTj3QK,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Miley Cyrus - Midnight Sky.mp3,Miley Cyrus - Midnight Sky.mp3,Midnight Sky,Miley Cyrus,2020.0,Pop / Disco / Dance-Pop,,74,https://open.spotify.com/track/4i2qxFEVVUi8yOYoxB8TCX,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/XXXTENTACION ft Kanye West - One Minute (Dirty).mp3,XXXTENTACION ft Kanye West - One Minute (Dirty).mp3,One Minute (Dirty),XXXTENTACION ft Kanye West,2018.0,Hip Hop / Hardcore / Emo / Trap,,59,https://open.spotify.com/track/0T6RSXxFhW8dRTWHI604ld,발견 (유사도: 0.82)
/Users/mac/Downloads/djing/The Weeknd - Cry For Me (Dirty).mp3,The Weeknd - Cry For Me (Dirty).mp3,Cry For Me (Dirty),The Weeknd,2025.0,Pop / Synth-Pop / R&B,,87,https://open.spotify.com/track/3AWDeHLc88XogCaCnZQLVI,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Jennifer Lopez - If You Had My Love (Clean).mp3,Jennifer Lopez - If You Had My Love (Clean).mp3,If You Had My Love (Clean),Jennifer Lopez,1999.0,Pop / R&B / Dance-Pop,,67,https://open.spotify.com/track/3x4yV0hW5Ve3TKhFkXSqFn,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Tyga, Jhene Aiko & Pop Smoke - Sunshine (Dirty).mp3","Tyga, Jhene Aiko & Pop Smoke - Sunshine (Dirty).mp3",Sunshine (Dirty),"Tyga, Jhene Aiko & Pop Smoke",2022.0,Hip Hop / R&B / West Coast,,65,https://open.spotify.com/track/54NBD72JXFXzrodbQBSzWh,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/TRILLIAN & NLE Choppa - Show Me Your Love (Dirty).mp3,TRILLIAN & NLE Choppa - Show Me Your Love (Dirty).mp3,Show Me Your Love (Dirty),TRILLIAN & NLE Choppa,2025.0,Hip Hop / Trap / Hardcore,,36,https://open.spotify.com/track/0xaYatIdYfAFJYWSFKtbrG,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Rio Da Yung Og - WYDT (Dirty).mp3,Rio Da Yung Og - WYDT (Dirty).mp3,WYDT (Dirty),Rio Da Yung Og,2025.0,Hip Hop / Hardcore,,47,https://open.spotify.com/track/106GvlIyqO0boYgK5FlsBK,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/OMB Peezy ft GloRilla - Lay Down (Remix) (Dirty).mp3,OMB Peezy ft GloRilla - Lay Down (Remix) (Dirty).mp3,Lay Down (Remix) (Dirty),OMB Peezy ft GloRilla,2024.0,Hip Hop / Trap / Southern,,55,https://open.spotify.com/track/5v4pfRg3jbgNDjlghvczvX,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Jack Harlow ft DaBaby, Lil Wayne & Tory Lanez - WHATS POPPIN (Remix) (Dirty).mp3","Jack Harlow ft DaBaby, Lil Wayne & Tory Lanez - WHATS POPPIN (Remix) (Dirty).mp3",WHATS POPPIN (Remix) (Dirty),"Jack Harlow ft DaBaby, Lil Wayne & Tory Lanez",2020.0,Hip Hop / Trap,,75,https://open.spotify.com/track/1jaTQ3nqY3oAAYyCTbIvnM,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lil Jon & NyNy - Sneaky Link (Dirty).mp3,Lil Jon & NyNy - Sneaky Link (Dirty).mp3,Sneaky Link (Dirty),Lil Jon & NyNy,2023.0,Hip Hop / Trap,,41,https://open.spotify.com/track/4dPaEnjUaBjG3ukUHMeNDl,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Jon Z, Axel Rulay & White Star - TETEO (Dirty).mp3","Jon Z, Axel Rulay & White Star - TETEO (Dirty).mp3",TETEO (Dirty),"Jon Z, Axel Rulay & White Star",2024.0,Latin Pop,,38,https://open.spotify.com/track/0Vhn5cKzaOuAXq0G7fnY0H,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/Katy Perry - Part Of Me (Clean).mp3,Katy Perry - Part Of Me (Clean).mp3,Part Of Me (Clean),Katy Perry,2012.0,Pop / Dance-Pop / Electropop,,75,https://open.spotify.com/track/6yARPLK0PV4heEyh7pVMGz,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Summer Walker, London On Da Track & Chris Brown - Something Real (Dirty).mp3","Summer Walker, London On Da Track & Chris Brown - Something Real (Dirty).mp3",Something Real (Dirty),"Summer Walker, London On Da Track & Chris Brown",2019.0,R&B / Pop,,57,https://open.spotify.com/track/4otQJBpb8okSeykALR3eCH,발견 (유사도: 0.70)
/Users/mac/Downloads/djing/Drake ft Nicki Minaj - Make Me Proud (Dirty).mp3,Drake ft Nicki Minaj - Make Me Proud (Dirty).mp3,Make Me Proud (Dirty),Drake ft Nicki Minaj,2018.0,Hip Hop / Pop / R&B,,70,https://open.spotify.com/track/7yfg0Eer6UZZt5tZ1XdsWz,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/K Camp - Money Baby (Dirty).mp3,K Camp - Money Baby (Dirty).mp3,Money Baby (Dirty),K Camp,2013.0,Hip Hop / Trap / Southern / Hardcore,,23,https://open.spotify.com/track/5Rur9RqEP2RpPiQ0ce6Jk1,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Snoop Dogg & Wiz Khalifa ft Bruno Mars - Young, Wild & Free (Dirty).mp3","Snoop Dogg & Wiz Khalifa ft Bruno Mars - Young, Wild & Free (Dirty).mp3","Young, Wild & Free (Dirty)",Snoop Dogg & Wiz Khalifa ft Bruno Mars,2011.0,Hip Hop / Rap,,66,https://open.spotify.com/track/2g7uRZ68eLtv74XrxgdT2q,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/DJDS, Tory Lanez & Rema - Simple Things (Dirty).mp3","DJDS, Tory Lanez & Rema - Simple Things (Dirty).mp3",Simple Things (Dirty),"DJDS, Tory Lanez & Rema",2020.0,Electronic / R&B / Afrobeats,,35,https://open.spotify.com/track/5SMKa6EVTFltVoZlNcKMYM,발견 (유사도: 0.70)
/Users/mac/Downloads/djing/Beyoncé - TEXAS HOLD 'EM (Dirty).mp3,Beyoncé - TEXAS HOLD 'EM (Dirty).mp3,TEXAS HOLD 'EM (Dirty),Beyoncé,2024.0,Country / Pop,,78,https://open.spotify.com/track/7wLShogStyDeZvL0a6daN5,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/DJ Khaled Lil Wayne, Akon, T I, Fat Joe, Rick Ross & Birdman - We Takin Over (Dirty).mp3","DJ Khaled Lil Wayne, Akon, T I, Fat Joe, Rick Ross & Birdman - We Takin Over (Dirty).mp3",We Takin' Over (Dirty),"DJ Khaled Lil Wayne, Akon, T.I, Fat Joe, Rick Ross & Birdman",2007.0,Hip Hop / Crunk,,65,https://open.spotify.com/track/4cZHdXh4bvtDripgwzwO81,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/Craig David ft GoldLink - Live In The Moment (Clean).mp3,Craig David ft GoldLink - Live In The Moment (Clean).mp3,Live In The Moment (Clean),Craig David ft GoldLink,2018.0,R&B / Pop / Dance-Pop,,36,https://open.spotify.com/track/6dt1vglokVwAR8XuVC9Gnd,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lil Mosey - Blueberry Faygo (Dirty).mp3,Lil Mosey - Blueberry Faygo (Dirty).mp3,Blueberry Faygo (Dirty),Lil Mosey,2020.0,Hip Hop / Trap,,76,https://open.spotify.com/track/22LAwLoDA5b4AaGSkg6bKW,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/YG ft Day Sulan - Equinox (Dirty).mp3,YG ft Day Sulan - Equinox (Dirty).mp3,Equinox (Dirty),YG ft Day Sulan,2020.0,Hip Hop / West Coast / Trap,,26,https://open.spotify.com/track/5OYBMBUQfRl8PljvVLBCe7,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/AJR - Weak (Intro Clean).mp3,AJR - Weak (Intro Clean).mp3,Weak (Intro Clean),AJR,2017.0,Pop / Indie Pop / Electronic,,64,https://open.spotify.com/track/3BuLtAmXKy5uQYl4ED1zBT,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Spankers - Sex On The Beach.mp3,Spankers - Sex On The Beach.mp3,Sex On The Beach,Spankers,2011.0,Dance / House / Electronic,,3,https://open.spotify.com/track/60bpOCGjWn2kfeiXWdzpAE,발견 (유사도: 0.86)
/Users/mac/Downloads/djing/BIGBANG (빅뱅) - 뱅뱅뱅 (BANG BANG BANG).mp3,BIGBANG (빅뱅) - 뱅뱅뱅 (BANG BANG BANG).mp3,뱅뱅뱅 (BANG BANG BANG),BIGBANG (빅뱅),2015.0,Pop / K-Pop / Dance-Pop,,77,https://open.spotify.com/track/3dI59jLoFMjMAyUAyRZnkE,발견 (유사도: 0.40)
/Users/mac/Downloads/djing/C-Murder ft Snoop Dogg & Magic - Down For My N's (Dirty).mp3,C-Murder ft Snoop Dogg & Magic - Down For My N's (Dirty).mp3,Down For My N's (Dirty),C-Murder ft Snoop Dogg & Magic,2001.0,Hip Hop / Southern / Hardcore,,43,https://open.spotify.com/track/4Dw6V4mhZAGkFSTQ4GUMIZ,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lloyd - Excited (Dirty).mp3,Lloyd - Excited (Dirty).mp3,Excited (Dirty),Lloyd,2018.0,R&B / Pop / Dance-Pop,,36,https://open.spotify.com/track/63dSdFGpcCrF53aSqtmdGC,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lil Uzi Vert ft Oh Wonder - The Way Life Goes (Dirty).mp3,Lil Uzi Vert ft Oh Wonder - The Way Life Goes (Dirty).mp3,The Way Life Goes (Dirty),Lil Uzi Vert ft Oh Wonder,2017.0,Hip Hop / Emo Rap / Trap,,81,https://open.spotify.com/track/2eAZfqOm4EnOF9VvN50Tyc,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Mario - How Do I Breathe.mp3,Mario - How Do I Breathe.mp3,How Do I Breathe,Mario,2009.0,R&B / Pop / Soul,,74,https://open.spotify.com/track/174rZBKJAqD10VBnOjlQQ3,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Chad B ft MeetSims - Run Run (Clean).mp3,Chad B ft MeetSims - Run Run (Clean).mp3,Run Run (Clean) ,Chad B ft MeetSims,2019.0,Hip-Hop / R&B,,21,https://open.spotify.com/track/7blwEqQ1XLwLqabpe9EzLf,발견 (유사도: 0.58)
/Users/mac/Downloads/djing/Lil Tecca - Ransom (Dirty).mp3,Lil Tecca - Ransom (Dirty).mp3,Ransom (Dirty),Lil Tecca,2019.0,Hip Hop / Trap,,88,https://open.spotify.com/track/1lOe9qE0vR9zwWQAOk6CoO,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Yellow Claw - In My Room (Feat. Ty Dolla $Ign & Tyga).mp3,Yellow Claw - In My Room (Feat. Ty Dolla $Ign & Tyga).mp3,In My Room (Feat. Ty Dolla $Ign & Tyga),Yellow Claw,2015.0,Trap / Hip Hop / Electronic,,54,https://open.spotify.com/track/4lqEFIB9YZl8BwR99L5H3b,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Erica Banks - Slim Waist (Dirty).mp3,Erica Banks - Slim Waist (Dirty).mp3,Slim Waist (Dirty),Erica Banks,2022.0,Hip Hop / Trap,,30,https://open.spotify.com/track/2vVOg6869yIhjibsjbTfca,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Lil Baby ft Rod Wave & Rylo Rodriguez - By Myself (Dirty).mp3,Lil Baby ft Rod Wave & Rylo Rodriguez - By Myself (Dirty).mp3,By Myself (Dirty),Lil Baby ft Rod Wave & Rylo Rodriguez,2025.0,Hip Hop / Trap / Southern / Rap,,68,https://open.spotify.com/track/4pnwBTwGbXdZYgPhYJPRsr,발견 (유사도: 0.82)
/Users/mac/Downloads/djing/AlunaGeorge - You Know You Like It (Clean).mp3,AlunaGeorge - You Know You Like It (Clean).mp3,You Know You Like It (Clean),AlunaGeorge,2013.0,Electronic / R&B / Pop,,77,https://open.spotify.com/track/57kR5SniQIbsbVoIjjOUDa,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Ludacris - Girls Gone Wild (Dirty).mp3,Ludacris - Girls Gone Wild (Dirty).mp3,Girls Gone Wild (Dirty),Ludacris,2006.0,Hip Hop / Southern / Party,,33,https://open.spotify.com/track/54SitNflDuLY4ZgrjFEubX,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/Mustard ft Quavo, 21 Savage, YG & Meek Mill - 100 Bands (Dirty).mp3","Mustard ft Quavo, 21 Savage, YG & Meek Mill - 100 Bands (Dirty).mp3",100 Bands (Dirty),"Mustard ft Quavo, 21 Savage, YG & Meek Mill",2019.0,Hip Hop / Trap / Rap,,2,https://open.spotify.com/track/7MYHaQeFRCxwcElpg6ryeu,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/pH-1 - FLAT COKE (Feat. 이영지).mp3,pH-1 - FLAT COKE (Feat. 이영지).mp3,FLAT COKE (Feat. 이영지),pH-1,2024.0,"Rap,K-Rap",,44,https://open.spotify.com/track/1P6QKJ1Vyskavy98wtV7W7,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Moneybagg Yo ft Lil Baby - U Played (Dirty).mp3,Moneybagg Yo ft Lil Baby - U Played (Dirty).mp3,U Played (Dirty),Moneybagg Yo ft Lil Baby,2020.0,Hip Hop / Trap / Gangsta / Rap,,68,https://open.spotify.com/track/7qeWNGBqqagdwf4KnjRzGZ,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Ariana Grande - Bad Idea (Dirty).mp3,Ariana Grande - Bad Idea (Dirty).mp3,Bad Idea (Dirty),Ariana Grande,2019.0,Pop / R&B,,68,https://open.spotify.com/track/5Il6Oe7lr5XM7A0cWbVQtr,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Mary J. Blige ft Remy Ma & DJ Khaled - Gone Forever (Dirty).mp3,Mary J. Blige ft Remy Ma & DJ Khaled - Gone Forever (Dirty).mp3,Gone Forever (Dirty),Mary J. Blige ft Remy Ma & DJ Khaled,2024.0,R&B / Hip Hop / Dance-Pop / Pop Rap,,14,https://open.spotify.com/track/0TfboUgaOV27Morjctd95p,발견 (유사도: 0.82)
/Users/mac/Downloads/djing/DJ Khaled - We Takin' Over.mp3,DJ Khaled - We Takin' Over.mp3,We Takin  Over,DJ Khaled,2008.0,Hip Hop / Trap / Rap / Pop,,65,https://open.spotify.com/track/4cZHdXh4bvtDripgwzwO81,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Kash Doll - Ice Me Out (Dirty).mp3,Kash Doll - Ice Me Out (Dirty).mp3,Ice Me Out (Dirty),Kash Doll,2018.0,Hip Hop / Rap,,48,https://open.spotify.com/track/6lJl03rkDmbmP5dtmY7MiI,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Nelly ft Jaheim - My Place (Dirty).mp3,Nelly ft Jaheim - My Place (Dirty).mp3,My Place (Dirty),Nelly ft Jaheim,2004.0,Hip Hop / R&B / Pop,,66,https://open.spotify.com/track/1NAyvpW70a9lxY0YlLWFV4,발견 (유사도: 1.00)
/Users/mac/Downloads/djing/Wham - Last Christmas (Clean).mp3,Wham - Last Christmas (Clean).mp3,Last Christmas (Clean),Wham!,1984.0,Pop / Holiday / Synthpop,,72,https://open.spotify.com/track/2FRnf9qhLbvw8fu4IBXx78,발견 (유사도: 1.00)
"/Users/mac/Downloads/djing/ZERB, Ty Dolla $ign & Wiz Khalifa - Location (Clean).mp3","ZERB, Ty Dolla $ign & Wiz Khalifa - Location (Clean).mp3",Location (Clean),"ZERB, Ty Dolla $ign & Wiz Khalifa",2025.0,Hip Hop / Trap Soul / Pop Rap,,83,https://open.spotify.com/track/6Ilomcr9iLplsgAvZjHkJP,발견 (유사도: 0.88)
/Users/mac/Downloads/djing/Megan Thee Stallion - Captain Hook (Dirty).mp3,Megan Thee Stallion - Captain Hook (Dirty).mp3,Captain Hook (Dirty),Megan Thee Stallion,2020.0,Hip Hop / Trap / Hardcore,,65,https://open.spotify.com/track/1E3VQQWFQAPJkXfYHjqWoI,발견 (유사도: 1.00)
